"";"en";"de";
"license_start";"<b>End User License Agreement</b>
	
Please accept the terms and conditions below. Please click ""Yes"" to accept the terms and conditions above. Click ""No"" to shutdown the computer if you disagree with the terms and conditions.";"<b>Endbenutzer Lizenzvereinbarung</b>

Bitte akzeptieren Sie die Lizenzbedingungen unten. Klicken Sie ""Ja"" um die Lizenzvereinbarung zu akzeptieren, ""Nein"" um den Computer herunterzufahren, wenn Sie nicht einverstanden sind.";
"license_key";"License key:";"Lizenzschlüssel:";
"do_you_accept";"Do you accept the terms and conditions?";"Nehmen Sie die Lizenzbedingungen an?";
"license_start";"<b>End User License Agreement</b>
	
Please accept the terms and conditions below. Please click ""Yes"" to accept the terms and conditions above. Click ""No"" to shutdown the computer if you disagree with the terms and conditions.";"<b>Endbenutzer Lizenzvereinbarung</b>

Bitte akzeptieren Sie die Lizenzbedingungen unten. Klicken Sie ""Ja"" um die Lizenzvereinbarung zu akzeptieren, ""Nein"" um den Computer herunterzufahren, wenn Sie nicht einverstanden sind.";
"license_key";"License key:";"Lizenzschlüssel:";
"do_you_accept";"Do you accept the terms and conditions?";"Nehmen Sie die Lizenzbedingungen an?";
