"";"en";"de";
"ovas_start";"<b>Scan your network for vulnerable hosts</b>
	
Vulnerable hosts can put a whole network on danger. OpenVAS scans for vulnerable hosts, and shows the problems and links to fixes. 

Initial download of the vulnerability definitions and update of the databases might take up to two hours. Subsequent updates are much faster (a few minutes). After the download is done, a web browser is started. Login with the pre-filled credentials and enter 192.168.1.0/24 to the ""Quick scan"" input field.";"<b>Netzwerkscan mit OpenVAS</b>

Verwundbare Computer und Netzwerkgeräte können ein ganzes Netz gefährden. OpenVAS findet verwundbare Rechner, zeigt detailliert die Probleme und hilft bei der Problembehebung.

Der anfängliche Download der Schwachstellenbeschreibungen kann bis zu zwei Stunden dauern. Folgende Aktualisierungen sind dann in wenigen Minuten erledigt. Wenn OpenVAS eingerichtit ist, startet ein Browser-Fenster. Melden Sie sich mit dem Nutzernamen und Passwort ""lesslinux"" an und tragen Sie bspw. 192.168.1.0/24 in das Eingabefeld ""Quick scan"" ein.";
"target";"Target device";"Ziellaufwerk";
"error_openvas_ram";"WARNING: The forensic system is currently running in RAM. Since OpenVAS needs lots of space for vulnerability databases we strongly recommend installing to a USB drive. Do you want to start OpenVAS anyway?";"Achtung: Das Forensik-System läuft momentan komplett im RAM. Da OpenVAS viel Speicher für Schwachstellendefinitionen benötigt, empfehlen wir die Installation auf USB-Stick und den Start von diesem, um OpenVAS stabil verwenden zu können. Wollen Sie dennoch OpenVAS starten?";
"error_openvas_daemons";"WARNING: Failed starting OpenVAS services. Usually this indicates either running in RAM or an insufficient size of the BLOB partition on the USB drive. Please install the forensic system on a drive of at least 16GB size.";"Achtung: Der Start der OpenVAS-Dienste ist fehlgeschlagen. Typische Ursachen sind eine zu kleine Blob-Partition auf dem USB-Stick oder zuwenig Arbeitsspeicher. Installieren Sie das Forensik-System gegebenenfalls (neu) auf einem wenigstens 16GB großen USB-Stick.";
"ovas_start";"<b>Scan your network for vulnerable hosts</b>
	
Vulnerable hosts can put a whole network on danger. OpenVAS scans for vulnerable hosts, and shows the problems and links to fixes. 

Initial download of the vulnerability definitions and update of the databases might take up to two hours. Subsequent updates are much faster (a few minutes). After the download is done, a web browser is started. Login with the pre-filled credentials and enter 192.168.1.0/24 to the ""Quick scan"" input field.";"<b>Netzwerkscan mit OpenVAS</b>

Verwundbare Computer und Netzwerkgeräte können ein ganzes Netz gefährden. OpenVAS findet verwundbare Rechner, zeigt detailliert die Probleme und hilft bei der Problembehebung.

Der anfängliche Download der Schwachstellenbeschreibungen kann bis zu zwei Stunden dauern. Folgende Aktualisierungen sind dann in wenigen Minuten erledigt. Wenn OpenVAS eingerichtit ist, startet ein Browser-Fenster. Melden Sie sich mit dem Nutzernamen und Passwort ""lesslinux"" an und tragen Sie bspw. 192.168.1.0/24 in das Eingabefeld ""Quick scan"" ein.";
"error_openvas_ram";"WARNING: The forensic system is currently running in RAM. Since OpenVAS needs lots of space for vulnerability databases we strongly recommend installing to a USB drive. Do you want to start OpenVAS anyway?";"Achtung: Das Forensik-System läuft momentan komplett im RAM. Da OpenVAS viel Speicher für Schwachstellendefinitionen benötigt, empfehlen wir die Installation auf USB-Stick und den Start von diesem, um OpenVAS stabil verwenden zu können. Wollen Sie dennoch OpenVAS starten?";
"error_openvas_daemons";"WARNING: Failed starting OpenVAS services. Usually this indicates either running in RAM or an insufficient size of the BLOB partition on the USB drive. Please install the forensic system on a drive of at least 16GB size.";"Achtung: Der Start der OpenVAS-Dienste ist fehlgeschlagen. Typische Ursachen sind eine zu kleine Blob-Partition auf dem USB-Stick oder zuwenig Arbeitsspeicher. Installieren Sie das Forensik-System gegebenenfalls (neu) auf einem wenigstens 16GB großen USB-Stick.";
"target";"Target device";"Ziellaufwerk";
